gender,weight_kg,height_cm,age,activity_level,goal,gender_encoded,activity_encoded,goal_encoded,weight_kg_scaled,height_cm_scaled,age_scaled,bmr,tdee,calorie_goal,protein_target_g,protein_target_g,fat_target_g,fat_target_g,carbs_target_g,carbs_target_g
male,86.4,151.9,48,sedentary,gain,1,3,0,0.7536764705882354,0.05428571428571427,0.7317073170731709,1702.33,2042.8,2342.8,175.7,175.7,65.1,65.1,263.6,263.6
female,79.1,168.2,45,sedentary,gain,0,3,0,0.6194852941176471,0.5199999999999996,0.6585365853658538,1505.26,1806.31,2106.31,158.0,158.0,58.5,58.5,237.0,237.0
male,68.9,163.4,28,extra_active,gain,1,0,0,0.4319852941176471,0.38285714285714256,0.2439024390243903,1636.62,3109.58,3409.58,255.7,255.7,94.7,94.7,383.6,383.6
male,74.3,166.6,18,moderately_active,maintain,1,2,2,0.5312499999999999,0.4742857142857142,0.0,1781.09,2760.69,2760.69,207.1,207.1,92.0,92.0,276.1,276.1
male,85.8,184.4,55,sedentary,lose,1,3,1,0.7426470588235293,0.9828571428571431,0.902439024390244,1810.53,2172.64,1672.64,146.4,146.4,55.8,55.8,146.4,146.4
female,62.3,180.0,41,sedentary,gain,0,3,0,0.31066176470588236,0.8571428571428568,0.5609756097560976,1403.79,1684.55,1984.55,148.8,148.8,55.1,55.1,223.3,223.3
male,72.7,160.3,48,very_active,maintain,1,4,2,0.5018382352941176,0.2942857142857145,0.7317073170731709,1559.11,2689.46,2689.46,201.7,201.7,89.6,89.6,268.9,268.9
male,92.0,172.2,58,very_active,lose,1,4,1,0.8566176470588235,0.6342857142857143,0.9756097560975612,1818.01,3136.07,2636.07,230.7,230.7,87.9,87.9,230.7,230.7
male,55.0,156.3,43,sedentary,maintain,1,3,2,0.17647058823529405,0.1800000000000006,0.6097560975609757,1331.17,1597.4,1597.4,119.8,119.8,53.2,53.2,159.7,159.7
female,64.6,173.7,22,extra_active,lose,0,0,1,0.3529411764705882,0.677142857142857,0.09756097560975613,1487.81,2826.84,2326.84,203.6,203.6,77.6,77.6,203.6,203.6
male,82.6,165.5,37,sedentary,maintain,1,3,2,0.6838235294117646,0.44285714285714306,0.4634146341463415,1779.14,2134.97,2134.97,160.1,160.1,71.2,71.2,213.5,213.5
male,84.5,162.0,58,lightly_active,lose,1,1,1,0.7187500000000001,0.3428571428571425,0.9756097560975612,1668.58,2294.3,1794.3,157.0,157.0,59.8,59.8,157.0,157.0
male,97.0,162.5,28,moderately_active,lose,1,2,1,0.948529411764706,0.35714285714285676,0.2439024390243903,2008.75,3113.56,2613.56,228.7,228.7,87.1,87.1,228.7,228.7
male,46.6,172.2,50,extra_active,maintain,1,0,2,0.022058823529411797,0.6342857142857143,0.7804878048780488,1255.2,2384.88,2384.88,178.9,178.9,79.5,79.5,238.5,238.5
female,73.2,162.1,55,lightly_active,gain,0,1,0,0.511029411764706,0.3457142857142852,0.902439024390244,1388.51,1909.2,2209.2,165.7,165.7,61.4,61.4,248.5,248.5
male,56.2,162.6,44,extra_active,lose,1,0,1,0.19852941176470595,0.35999999999999943,0.6341463414634148,1371.8,2606.42,2106.42,184.3,184.3,70.2,70.2,184.3,184.3
female,52.2,178.4,51,lightly_active,gain,0,1,0,0.125,0.8114285714285714,0.8048780487804879,1262.14,1735.44,2035.44,152.7,152.7,56.5,56.5,229.0,229.0
female,67.7,171.9,32,moderately_active,maintain,0,2,2,0.4099264705882354,0.6257142857142854,0.34146341463414637,1467.6,2274.78,2274.78,170.6,170.6,75.8,75.8,227.5,227.5
female,81.6,154.7,49,moderately_active,gain,0,2,0,0.6654411764705882,0.13428571428571434,0.7560975609756098,1469.24,2277.32,2577.32,193.3,193.3,71.6,71.6,289.9,289.9
male,46.4,169.9,38,very_active,gain,1,4,0,0.018382352941176405,0.5685714285714285,0.48780487804878053,1309.61,2259.08,2559.08,191.9,191.9,71.1,71.1,287.9,287.9
female,72.9,152.1,22,lightly_active,gain,0,1,0,0.5055147058823531,0.05999999999999961,0.09756097560975613,1497.65,2059.27,2359.27,176.9,176.9,65.5,65.5,265.4,265.4
male,72.1,157.7,23,very_active,gain,1,4,0,0.4908088235294116,0.21999999999999975,0.12195121951219517,1680.52,2898.9,3198.9,239.9,239.9,88.9,88.9,359.9,359.9
